Time,Reading ID#,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:07:20,439,60.2,24.4,193,488,1666,OFF,1
0:07:21,440,60.2,24.4,193,494,1661,OFF,1
0:07:22,441,60.3,24.4,192,500,1679,OFF,1
0:07:23,442,60.3,24.4,192,485,1659,OFF,1
0:07:24,443,60.3,24.4,192,485,1677,OFF,1
0:07:25,444,60.3,24.4,192,487,1671,OFF,1
0:07:26,445,60.3,24.4,192,485,1679,OFF,1
0:07:27,446,60.3,24.4,192,483,1681,OFF,1
0:07:28,447,60.3,24.4,192,487,1703,OFF,1
0:07:29,448,60.3,24.4,192,484,1709,OFF,1
0:07:30,449,60.3,24.4,192,498,1713,OFF,1
0:07:31,450,60.3,24.4,192,491,1712,OFF,1
0:07:32,451,60.3,24.4,192,499,1692,OFF,1
0:07:33,452,60.3,24.4,192,496,1687,OFF,1
0:07:34,453,60.3,24.4,192,486,1674,OFF,1
0:07:35,454,60.3,24.4,192,501,1710,OFF,1
0:07:36,455,60.3,24.4,192,498,1703,OFF,1
0:07:37,456,60.3,24.4,192,502,1706,OFF,1
0:07:38,457,60.3,24.4,192,496,1696,OFF,1
0:07:39,458,60.3,24.4,192,494,1673,OFF,1
0:07:40,459,60.3,24.4,191,491,1634,OFF,1
0:07:41,460,60.3,24.4,191,481,1599,OFF,1
0:07:42,461,60.3,24.4,191,478,1590,OFF,1
0:07:43,462,60.4,24.4,190,480,1588,OFF,1
0:07:44,463,60.4,24.4,190,476,1574,OFF,1
0:07:45,464,60.5,24.4,190,475,1573,OFF,1
0:07:46,465,60.5,24.4,190,475,1565,OFF,1
0:07:47,466,60.5,24.4,190,472,1552,OFF,1
0:07:48,467,60.5,24.4,189,465,1573,OFF,1
0:07:49,468,60.5,24.4,189,460,1569,OFF,1
0:07:50,469,60.5,24.4,189,465,1583,OFF,1
0:07:51,470,60.5,24.4,189,458,1575,OFF,1
0:07:52,471,60.5,24.4,189,463,1578,OFF,1
0:07:53,472,60.5,24.4,190,468,1579,OFF,1
0:07:54,473,60.5,24.4,189,461,1558,OFF,1
0:07:55,474,60.5,24.4,189,468,1570,OFF,1
0:07:56,475,60.5,24.4,189,460,1570,OFF,1
0:07:57,476,60.6,24.4,189,467,1565,OFF,1
0:07:58,477,60.6,24.4,189,461,1573,OFF,1
0:07:59,478,60.5,24.4,189,473,1572,OFF,1
0:08:00,479,60.5,24.4,189,468,1577,OFF,1
0:08:01,480,60.5,24.4,189,464,1578,OFF,1
0:08:02,481,60.5,24.4,189,458,1582,OFF,1
0:08:03,482,60.5,24.4,189,469,1606,OFF,1
0:08:04,483,60.5,24.4,189,463,1586,OFF,1
0:08:05,484,60.5,24.4,189,470,1601,OFF,1
0:08:06,485,60.5,24.4,189,455,1593,OFF,1
0:08:07,486,60.5,24.4,189,471,1605,OFF,1
