Time,Reading ID,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:06:25,386,41.6,21.5,179,1425,5082,OFF,1
0:06:26,387,41.7,21.6,179,1388,5140,OFF,1
0:06:27,388,41.7,21.6,180,1425,5209,OFF,1
0:06:28,389,41.7,21.6,181,1413,5105,OFF,1
0:06:29,390,41.7,21.6,180,1427,5163,OFF,1
0:06:30,391,41.7,21.6,181,1432,5244,OFF,1
0:06:31,392,41.8,21.6,182,1464,5481,OFF,1
0:06:32,393,41.8,21.6,184,1478,5956,OFF,1
0:06:33,394,41.8,21.6,184,1508,6153,OFF,1
0:06:34,395,41.8,21.6,185,1579,6367,OFF,1
0:06:35,396,41.9,21.6,184,1559,6286,OFF,1
0:06:36,397,41.9,21.6,185,1619,6246,OFF,1
0:06:37,398,42,21.6,185,1656,6321,OFF,1
0:06:38,399,42,21.6,185,1695,6130,OFF,1
0:06:39,400,42.1,21.5,186,1679,6298,OFF,1
0:06:40,401,42.1,21.5,188,1723,6686,OFF,1
0:06:41,402,42.2,21.6,190,1734,6726,OFF,1
0:06:42,403,42.2,21.6,190,1790,6779,OFF,1
0:06:43,404,42.2,21.5,190,1759,6796,OFF,1
0:06:44,405,42.3,21.5,190,1796,6651,OFF,1
0:06:45,406,42.5,21.6,190,1790,6541,ON,2
0:06:46,407,42.5,21.6,189,1815,6373,ON,2
0:06:47,408,42.7,21.6,189,1785,6344,ON,2
0:06:48,409,42.7,21.6,189,1792,6506,ON,2
0:06:49,410,42.7,21.5,189,1815,6732,ON,2
0:06:50,411,42.7,21.5,189,1840,6715,ON,2
0:06:51,412,42.7,21.5,190,1843,6744,ON,2
0:06:52,413,42.7,21.5,191,1877,6784,ON,2
0:06:53,414,42.8,21.5,191,1817,6715,ON,2
0:06:54,415,42.8,21.5,190,1845,6622,ON,2
0:06:55,416,43,21.6,190,1845,6593,ON,2
0:06:56,417,43,21.6,190,1810,6674,ON,2
0:06:57,418,43,21.6,191,1840,6715,ON,2
0:06:58,419,43,21.6,192,1845,6709,ON,2
0:06:59,420,43,21.6,191,1863,6611,ON,2
0:07:00,421,43,21.6,191,1852,6808,ON,2
0:07:01,422,43.1,21.6,192,1856,6773,ON,2
0:07:02,423,43.1,21.6,192,1845,6808,ON,2
0:07:03,424,43,21.6,192,1843,6900,ON,2
0:07:04,425,43,21.6,192,1868,6836,ON,2
0:07:05,426,42.9,21.6,192,1868,6906,ON,2
0:07:06,427,42.9,21.6,192,1856,6975,ON,2
0:07:07,428,42.8,21.6,192,1889,7016,ON,2
0:07:08,429,42.8,21.6,192,1905,7022,ON,2
0:07:09,430,42.8,21.6,192,1884,6999,ON,2
0:07:10,431,42.8,21.6,193,1933,7167,ON,2
0:07:11,432,42.7,21.6,192,1951,7184,ON,2
0:07:12,433,42.7,21.6,193,1935,7097,ON,2
0:07:13,434,42.7,21.6,193,1942,7138,ON,2
0:07:14,435,42.7,21.6,193,1958,7248,ON,2
0:07:15,436,42.7,21.6,193,1905,7097,ON,2
0:07:16,437,42.7,21.6,193,1953,7080,ON,2
0:07:17,438,42.7,21.6,193,1956,7149,ON,2
0:07:18,439,42.7,21.6,193,1967,7213,ON,2
0:07:19,440,42.7,21.6,194,1935,7103,ON,2
0:07:20,441,42.7,21.6,194,1921,7074,ON,2
0:07:21,442,42.7,21.6,194,1928,7097,ON,2
0:07:22,443,42.7,21.6,193,1953,7120,ON,2
0:07:23,444,42.7,21.6,194,1956,7149,ON,2
0:07:24,445,42.7,21.6,194,1951,7126,ON,2
0:07:25,446,42.7,21.6,194,1953,6906,ON,2
0:07:26,447,42.7,21.6,194,1953,6918,ON,2
0:07:27,448,42.7,21.6,193,1967,6877,ON,2
0:07:28,449,42.7,21.6,193,1933,6975,ON,2
0:07:29,450,42.7,21.6,193,1916,6906,ON,2
0:07:30,451,42.7,21.6,193,1923,6877,ON,2
0:07:31,452,42.7,21.6,193,1940,6848,ON,2
0:07:32,453,42.6,21.6,192,1935,6831,ON,2
0:07:33,454,42.6,21.6,193,1898,6883,ON,2
